age,income,loan,credit,approved
73,68254,109825,792,0
34,103255,72862,758,1
55,58994,11197,644,1
41,138221,61245,656,1
22,102138,5000,570,0
69,46244,42902,770,1
51,83162,85044,611,0
23,46815,133349,646,0
39,43133,82872,719,0
28,69392,139090,690,0
65,125550,5000,705,1
33,104817,5000,639,1
50,74096,5000,591,0
26,106247,119284,695,0
23,85744,78294,618,0
33,28204,5000,716,1
46,69194,5000,617,0
20,72073,56918,669,1
37,105467,5000,800,1
53,52341,5000,695,1
36,38493,5000,624,1
43,73178,5000,714,1
20,49183,33535,670,0
36,62059,163043,624,0
37,71764,5000,681,1
49,59678,24141,766,1
24,113527,66849,722,1
69,131571,72844,667,1
58,109516,5000,595,0
50,25000,79495,731,0
57,49321,63602,713,0
56,67853,5000,566,0
35,25000,5000,576,0
57,39964,5000,790,1
18,67342,89668,702,0
28,57041,144165,582,0
45,75346,30060,759,1
74,25000,142152,765,0
42,56588,25809,630,0
67,81076,5000,615,0
40,75408,13242,685,1
48,92875,149348,691,0
47,90542,5000,668,1
59,58715,19123,604,0
52,79804,124850,655,0
24,43000,119343,650,0
33,64190,54474,575,0
43,32775,72771,749,0
65,117616,115027,605,0
74,64060,54684,771,1
69,117557,132440,690,0
66,87459,83755,635,0
19,39573,18168,707,0
18,85044,64761,670,1
65,107388,5000,772,1
29,71896,5000,828,1
22,77961,5000,707,1
54,52941,13473,667,1
49,75964,55038,792,1
72,84515,174084,665,0
26,51847,63286,643,0
58,31828,45319,766,0
52,126518,22028,738,1
36,99164,5000,644,1
65,53093,40460,702,0
33,83786,7939,655,1
20,25000,5000,722,1
37,25000,95661,715,0
41,118365,5000,590,0
71,84182,10006,682,0
73,73091,5000,576,0
50,84306,39408,580,0
41,204045,98300,645,1
69,109763,57999,638,0
28,33182,12327,560,0
66,25000,105230,596,0
25,117181,100616,572,0
53,109243,33159,628,1
55,98002,157439,716,0
57,42484,63551,783,0
37,89531,61394,754,1
52,46066,5000,710,1
65,101511,5000,706,1
42,114306,35074,672,1
52,53261,109780,673,0
42,120272,56280,776,1
46,79594,106070,723,0
35,94674,5000,693,1
63,25000,36599,557,0
35,84288,31335,730,1
19,47976,5000,731,1
71,93985,173113,636,0
52,133686,125804,695,1
33,86580,104274,670,0
58,38965,132794,642,0
53,100058,5000,708,1
50,91071,93661,604,0
21,157344,5000,822,1
50,85158,41840,717,0
31,51581,5000,672,1
38,105825,18097,747,1
65,69892,5000,734,1
37,78210,5000,627,1
73,37860,25703,644,0
25,70102,5000,519,0
24,76232,57116,604,0
20,69866,163996,726,0
34,51364,5000,692,1
50,86529,8818,645,1
65,38061,83160,704,0
29,28640,5000,642,1
68,103381,5000,578,0
39,99710,5000,613,0
72,25000,100470,840,0
39,25000,5000,669,0
63,34650,5000,673,1
47,69868,152471,716,0
55,121173,5000,748,1
55,68890,19810,664,1
62,44225,152394,757,0
68,80943,182798,664,0
71,70439,93948,679,0
25,25000,123747,646,0
44,25000,5000,733,1
44,25000,5000,583,0
51,174194,167133,696,1
38,109399,8892,721,1
47,51251,5000,751,1
50,119330,63473,718,0
45,52277,14720,615,0
64,118007,36490,720,1
50,78212,5000,731,1
22,48645,5000,725,1
65,102192,54204,663,1
36,80500,5749,669,1
21,90930,5000,749,1
52,83620,61238,680,1
66,83200,5000,613,0
34,107022,8764,651,1
61,178352,5000,784,1
45,124951,100835,585,0
47,83785,5000,771,1
46,62575,5000,681,1
63,66970,117180,587,0
70,25000,5000,735,1
23,101581,39596,630,1
52,34403,163555,686,0
58,60101,42671,551,0
54,101813,201240,774,0
41,65506,141991,659,0
46,55308,5000,637,1
66,27100,5000,693,0
63,123213,5000,741,1
70,41671,60404,666,0
48,51564,57700,739,0
52,25000,83162,678,0
50,74205,5000,686,1
69,61668,5000,623,1
38,82274,74682,753,1
49,28014,189272,726,0
40,104367,5000,718,1
50,25000,24205,754,1
20,71312,5000,606,0
35,79619,41629,684,1
42,77310,5000,757,1
59,81310,37049,677,0
48,106546,127662,690,0
71,127987,5000,688,1
75,68775,109682,713,0
20,36286,5000,545,0
57,97428,50651,688,1
63,63790,69104,707,0
41,125584,60014,707,1
67,50921,5000,792,1
49,40679,82999,639,0
64,80751,5000,795,1
39,25000,103165,654,0
40,56302,5000,585,0
19,61806,55759,785,1
44,83818,5000,753,1
59,35149,152568,689,0
19,39819,65090,639,0
43,121276,82218,665,1
34,74461,93004,697,0
57,109585,10720,777,1
50,53328,53141,587,0
26,72821,43222,665,0
60,83581,81592,661,0
71,144902,5000,646,1
65,66295,5000,634,1
56,68349,124545,792,0
46,118926,92936,623,1
59,59807,5000,689,1
72,86385,182178,597,0
43,115438,5000,740,1
52,51966,39489,645,1
67,88618,123494,525,0
42,144822,122732,748,1
41,111852,5000,641,1
30,86397,71379,771,1
75,66027,5182,756,1
24,50827,63564,672,0
74,35472,19946,707,0
53,135384,5000,686,1
62,127618,5000,581,0
37,48715,124813,779,0
18,88507,5000,662,1
25,79453,147469,681,0
63,122376,6495,682,1
33,90312,68772,664,1
31,74087,153140,724,0
29,53332,5000,673,1
68,88634,67747,644,1
40,61072,69522,650,0
32,83827,5000,796,1
45,71961,47780,684,0
51,60100,89582,793,0
19,36090,166075,613,0
49,95567,5000,634,1
40,76702,57670,646,0
39,146496,19834,674,1
68,33706,45468,629,0
42,100011,5000,671,1
75,71694,16476,694,1
39,158990,151456,750,1
75,96958,40194,585,0
75,87987,36088,745,1
39,71795,5000,731,1
66,46875,117279,611,0
69,87455,97756,624,0
59,25000,40180,705,0
23,25000,182089,635,0
32,115497,5000,775,1
71,25000,5000,679,0
60,62217,22405,595,0
54,33034,5000,601,0
50,58901,49253,575,0
25,82381,35855,672,0
70,114382,122231,675,0
61,123705,5000,715,1
61,38241,56561,768,0
22,56361,44818,680,1
56,237102,96602,768,1
21,64999,5000,628,1
23,39711,5000,576,0
62,46367,5000,735,1
49,65234,5000,730,1
69,59290,78986,697,0
47,65625,79751,727,0
64,74142,117365,518,0
52,73863,18341,647,1
72,36780,5000,758,1
57,89773,5000,661,1
69,79841,134284,725,0
33,94863,12220,850,1
30,25000,5000,751,1
67,81273,90033,654,0
59,25000,5000,556,0
47,67977,5000,730,1
36,101317,5000,538,0
34,116831,37241,624,1
73,88378,5000,628,1
36,102015,23153,671,1
45,63039,5000,699,1
75,54633,5000,619,0
72,182710,5000,753,1
43,108086,42742,779,1
54,28080,55559,663,0
43,25000,103946,755,0
70,56397,5000,631,1
40,122674,141320,607,0
26,76949,247676,755,0
29,25000,5000,698,1
70,67908,5000,707,1
18,74903,5000,808,1
75,25000,5000,726,1
75,75966,5000,848,1
18,34465,30411,686,0
64,25000,70662,785,0
51,139180,5000,676,1
49,32695,16278,599,0
71,48308,5000,738,1
65,47776,192844,677,0
42,75089,5000,825,1
57,145652,5000,719,1
62,27152,32682,746,0
70,62727,5000,570,0
18,79834,120649,730,0
33,40248,5000,675,1
56,62084,5000,625,1
22,98779,127547,778,0
39,44771,5000,589,0
46,61454,96767,704,0
72,57745,5000,637,1
20,70847,5000,699,1
29,84726,5000,660,1
43,98462,5000,667,1
33,152502,102565,684,1
68,25000,40885,612,0
54,68304,101277,751,0
39,25000,124107,726,0
74,59585,73282,610,0
46,110234,5000,778,1
31,122911,5000,733,1
45,124788,98073,687,1
22,124411,34440,580,0
64,68042,82030,634,0
66,130941,22885,547,0
47,138873,5000,692,1
63,80552,82132,739,0
69,122089,5000,629,1
22,76649,5000,680,1
29,131409,35318,749,1
33,68533,46695,636,0
43,50619,5000,719,1
43,30200,5000,827,1
65,68054,5000,731,1
38,78375,24978,607,0
56,37165,154404,678,0
53,64995,5000,730,1
50,53938,5000,714,1
47,31920,157320,604,0
54,116435,115127,710,1
40,123476,5000,665,1
75,116257,84035,648,0
27,71633,96592,718,0
71,74104,45660,803,1
22,32473,5000,627,1
53,91585,5000,711,1
51,81785,5000,674,1
69,188757,72312,722,1
48,118484,5000,687,1
27,87609,8816,639,1
75,73335,5000,636,1
36,115052,5000,712,1
75,38370,237607,689,0
49,120585,62223,723,1
18,31514,147761,568,0
73,52539,5000,756,1
22,25000,151497,779,0
62,99563,5000,690,1
21,84997,72421,726,0
33,52540,109340,748,0
41,37834,150875,667,0
33,130148,26289,696,1
72,69655,5000,713,1
19,44308,28818,643,0
66,151877,77283,689,1
45,48717,5000,538,0
49,120544,5000,636,1
44,28960,5000,782,1
37,60802,5000,707,1
41,95091,65543,624,0
29,72686,100555,593,0
67,84750,118140,850,0
52,53446,212076,630,0
50,25000,149053,645,0
50,133623,17838,721,1
68,55886,5000,621,1
60,86560,9508,706,1
54,103078,5000,681,1
29,87350,43270,597,0
20,46656,101275,683,0
18,121390,68381,702,1
50,95547,156076,605,0
57,82950,61642,716,1
27,82023,5000,728,1
60,142290,5000,608,0
61,45797,62206,713,0
46,91610,48293,696,0
30,53854,134660,655,0
29,25000,30563,661,0
48,25000,15887,707,0
63,34414,5000,638,1
19,48662,5000,720,1
68,161917,54701,623,1
67,102935,46772,628,1
52,106533,77590,590,0
40,49516,66046,559,0
34,77453,20930,690,1
43,167246,5000,543,0
25,26423,30045,702,0
46,93249,26460,674,1
43,139451,139745,812,1
27,113637,136254,722,0
43,147061,5000,715,1
51,83514,5000,632,1
68,99138,5000,640,1
58,79390,16808,650,1
24,96333,5000,677,1
21,38391,238586,639,0
75,106693,5000,719,1
70,86769,34686,652,1
67,77506,5000,758,1
62,144855,31969,622,1
28,64384,5000,732,1
46,123312,94919,815,1
73,127291,65225,803,1
53,109221,92245,619,0
42,36396,5000,760,1
38,89363,116344,524,0
74,153338,5000,571,0
53,25000,5000,722,1
27,67493,15448,710,1
54,121492,39069,722,1
26,70387,5000,645,1
41,107395,99887,601,0
52,131367,5000,553,0
66,84280,5000,619,0
52,95359,29996,725,1
65,78674,98584,740,0
53,86912,5000,700,1
35,159104,105250,693,1
66,72442,5000,798,1
56,60873,56453,778,1
49,116670,5000,746,1
41,41283,5000,760,1
40,50411,169031,704,0
49,50666,5000,713,1
54,64765,25500,625,1
29,66512,5000,706,1
66,102963,91535,634,1
72,61305,62715,766,0
30,104578,73984,723,1
40,109567,120469,650,0
42,48859,5000,729,1
52,108708,115960,758,0
58,112336,149192,618,0
47,25000,52755,662,0
34,86739,5000,611,0
66,54743,5000,677,1
37,127122,65381,773,1
65,54335,5000,680,1
42,25000,5000,720,1
39,73807,100699,641,0
30,39121,5000,739,1
36,108983,223552,675,0
66,42655,5000,733,1
53,74299,5000,740,1
29,136832,58736,606,0
58,118941,46365,632,1
36,94113,23265,651,1
29,69896,21362,804,1
26,90315,289426,775,0
24,102559,162861,687,0
45,35535,97481,850,0
31,109053,5000,588,0
48,30932,24087,663,0
69,97898,82843,762,1
36,30724,89857,683,0
75,153511,132208,620,1
64,105533,5000,707,1
33,25000,26917,850,0
70,74962,5000,621,1
22,54143,136779,628,0
52,49410,85906,604,0
29,80884,5000,650,1
42,37880,47990,755,0
69,105458,34024,789,1
38,103186,5000,591,0
53,89056,104413,722,0
70,74219,36158,734,1
40,101392,5000,632,1
33,106655,5000,731,1
74,93196,98367,706,0
56,25000,51451,756,0
62,43464,5000,524,0
70,64277,5000,700,1
59,25000,30441,736,0
75,83960,35104,753,1
56,131440,45364,736,1
31,125067,5000,595,0
48,104585,39632,779,1
75,104108,5000,732,1
22,163611,143520,681,1
52,108754,113434,682,0
40,112025,122538,803,0
46,25000,5000,729,1
60,128312,6065,690,1
28,90939,23759,620,1
35,71808,75999,664,0
64,61894,102069,620,0
29,53056,132770,557,0
26,125271,5000,695,1
27,73865,5000,557,0
75,54532,34623,635,1
61,44138,96359,658,0
34,81823,94144,577,0
55,60615,67992,751,0
24,51489,5000,672,1
63,25000,5000,519,0
30,113374,5000,738,1
57,69479,5000,803,1
59,31590,5000,692,1
26,64150,5000,723,1
67,96965,56876,702,1
44,76153,39946,719,1
75,82639,5000,642,1
19,76701,5000,627,1
22,25000,5000,606,0
46,112940,148404,688,0
54,25000,30483,725,0
55,93461,94006,724,0
36,99622,44403,650,1
25,66206,25349,666,1
65,89136,5000,666,1
62,63914,5000,644,1
18,89619,5000,545,0
39,114716,148497,666,0
69,43314,44657,659,0
34,101958,132202,676,0
24,142695,120195,642,1
42,85582,5000,700,1
62,54875,30092,850,1
21,165529,164790,734,1
53,78548,75054,646,1
23,84261,70217,664,1
48,85094,103086,672,0
36,92914,68430,688,0
61,61445,73708,679,0
71,82599,54168,648,1
56,113087,5000,644,1
44,60063,5000,725,1
27,58200,5000,661,1
43,63316,5000,720,1
36,31089,64928,664,0
56,47686,49085,553,0
20,46056,80872,606,0
62,74979,19916,567,0
30,108445,247760,694,0
67,133148,192180,561,0
45,77287,5000,645,1
75,93258,82520,654,0
37,84735,107502,662,0
45,25000,5000,741,1
25,29084,43350,753,0
58,105450,71353,627,0
56,109339,29550,678,1
18,108424,60877,650,1
20,67887,36325,709,1
30,25000,86206,674,0
45,33859,153867,711,0
74,39979,91646,600,0
66,100150,124024,695,0
42,60705,5000,581,0
73,142616,192193,625,0
50,133705,55194,687,1
55,141947,5000,543,0
70,38339,63230,526,0
23,94635,5000,599,0
75,55899,41045,614,0
61,88114,54089,621,1
62,42775,5000,643,1
49,124046,42462,701,1
62,43522,5000,817,1
64,25000,5000,636,1
38,156351,5000,706,1
33,92699,5000,767,1
71,32234,5000,754,1
38,68509,67910,625,1
28,51925,117704,741,0
54,75229,82966,770,0
53,107111,107799,787,0
52,100831,101053,789,0
36,85149,5000,602,0
37,75210,5000,696,1
74,118146,172352,631,0
35,25000,5000,588,0
64,45042,178310,713,0
58,35853,5000,694,1
66,115250,5000,691,1
31,45436,10217,646,1
32,25000,97725,850,0
48,96973,163076,785,0
18,38650,5000,650,1
70,60970,96261,678,0
71,170245,101451,714,1
71,106485,134112,751,0
20,66558,5000,713,1
33,70154,162546,688,0
40,111299,65272,580,0
74,101514,66691,817,1
28,78023,113119,635,0
29,79142,5000,754,1
27,25000,111199,682,0
49,25000,219993,767,0
33,67927,5000,588,0
25,49668,24848,635,0
55,98443,32996,670,1
29,82887,58516,615,0
41,44089,64083,642,0
45,81527,5000,770,1
70,58270,33196,718,1
25,157664,169522,781,1
75,90449,62492,684,0
45,25000,59459,668,0
53,147820,5000,588,0
43,49674,137131,753,0
25,36010,12646,668,0
75,160747,5000,693,1
67,88833,63616,640,1
45,103030,86554,850,1
45,104322,6095,688,1
54,66760,5000,629,1
58,52103,5000,598,0
53,58629,20790,716,1
44,139354,5000,627,1
71,83151,65333,648,0
34,127516,77334,573,0
26,71942,5000,684,1
50,44784,5000,683,1
70,25000,146256,810,0
37,100920,74846,642,0
30,142763,83711,526,0
45,39561,60731,664,0
65,95534,117793,771,0
46,25000,5000,722,1
30,52772,96266,756,0
63,85717,83480,711,0
52,25000,80833,649,0
23,74279,5000,601,0
35,41531,41129,611,0
68,99190,60964,637,1
22,68383,172318,724,0
64,112577,37987,674,1
42,63816,116557,554,0
19,25000,5000,702,1
27,25000,5000,765,1
73,25000,65127,569,0
47,100318,64431,718,1
67,177309,5000,532,0
62,92409,106460,618,0
22,141881,16598,590,0
72,120342,14735,727,1
73,54266,23726,796,1
50,125612,137090,754,1
71,55857,117116,751,0
18,56651,180651,614,0
35,66656,74038,720,0
49,68552,184472,696,0
64,101454,49048,597,0
66,48164,19885,755,1
28,110564,5000,710,1
38,109989,15903,664,1
43,88718,19825,737,1
42,152584,5000,690,1
39,126495,5000,764,1
44,117789,78603,812,1
66,77646,5000,660,1
30,89070,5000,659,1
50,95952,5000,645,1
51,75529,5000,681,1
58,59977,5000,774,1
52,25000,5000,605,0
18,103710,5000,584,0
38,116657,52882,696,0
65,28555,5000,677,1
72,99206,5000,693,1
23,51338,5000,543,0
45,60338,5000,787,1
34,127430,87911,694,1
22,35374,28130,850,1
48,35314,36559,708,0
22,147193,29843,651,1
55,69177,5000,697,1
20,124861,5000,783,1
70,25000,47678,629,0
40,25000,107564,720,0
54,38482,59088,710,0
70,55741,100448,721,0
54,25000,5000,616,0
27,89771,5000,724,1
27,92383,5000,719,1
36,39074,95365,789,0
34,42256,5000,804,1
38,47528,114936,706,0
31,28404,5000,696,1
26,25000,163500,612,0
63,71598,5000,666,1
18,57782,5000,648,1
68,61874,35357,748,1
62,34527,5000,701,1
30,107419,63445,611,0
21,172015,5000,621,1
18,41636,44906,850,0
66,130987,5000,649,1
57,89665,13556,727,1
49,76416,5000,681,1
51,61235,99783,662,0
45,71671,5000,762,1
48,120983,103286,648,1
25,29476,5000,658,0
56,63999,29275,776,1
43,124960,104075,653,1
75,114348,5000,581,0
51,30096,5000,601,0
71,67696,94845,716,0
71,104120,137794,630,0
20,101537,31296,759,1
67,114005,5000,681,1
29,90371,5000,733,1
18,97078,187574,704,0
71,88711,5000,754,1
61,138189,72238,811,1
22,58127,40041,719,0
47,76927,5000,716,1
47,34401,5000,757,1
74,26519,5000,640,1
34,87998,53057,717,0
65,46032,64641,615,0
64,72692,5000,626,1
40,139709,74530,646,1
32,137397,5000,768,1
54,163961,5000,670,1
38,140506,5000,625,1
31,171120,82930,733,1
19,92461,5000,564,0
28,38879,5000,549,0
68,34984,5000,662,1
56,130853,5000,661,1
55,77065,80129,753,0
51,80045,22708,764,1
55,53037,22845,672,1
67,57833,5000,665,1
51,90350,11570,625,1
35,32791,5000,672,0
47,85285,48996,501,0
32,135443,84183,648,1
44,25000,5000,674,1
68,25000,60027,625,0
51,102024,5000,634,1
69,129558,128569,659,1
74,55404,48241,679,1
55,25000,5000,740,1
50,132276,123677,709,1
41,42557,96161,741,0
32,60550,5000,720,1
47,87761,69640,688,1
72,48342,68362,836,0
59,39954,5000,629,1
68,40687,35251,616,0
34,149317,49561,669,1
22,121384,5000,675,1
46,97980,137723,689,0
21,25000,5000,613,0
27,98127,84155,817,1
73,95968,5000,655,1
34,25000,10517,612,0
27,85348,5000,698,1
34,117059,5000,756,1
37,97774,23033,792,1
41,47793,35819,512,0
22,75530,114784,733,0
51,104214,5000,802,1
23,77378,79312,638,0
70,125171,29179,663,1
19,90827,76234,613,0
30,105116,5000,640,1
60,107856,37104,605,0
60,32332,59857,745,0
65,76999,5000,672,1
28,61705,60474,469,0
68,116753,68076,637,1
64,93529,5000,631,1
74,67471,92034,739,0
40,25000,5000,675,1
72,25000,5000,673,0
33,87413,5000,725,1
48,46311,52507,754,0
28,101645,5000,698,1
71,25000,5000,634,1
33,138718,22913,574,0
25,101554,38029,781,1
21,78967,5000,850,1
57,142322,5000,688,1
21,112936,30567,702,1
73,55999,93595,785,0
42,78103,5000,560,0
20,25000,156476,746,0
49,117567,5000,706,1
20,63161,5000,626,1
44,25000,40742,643,0
46,27726,38263,587,0
49,109836,5000,758,1
67,139552,21346,607,0
75,75817,76239,708,0
68,35717,112233,566,0
36,25000,20738,777,1
38,131584,5000,665,1
22,92978,87974,755,1
35,61794,173341,665,0
45,52269,37483,637,1
59,101873,15407,586,0
39,100772,130549,753,0
38,39136,5000,654,1
23,29305,35011,700,0
18,31323,222612,630,0
22,56271,66270,678,0
58,47408,91342,694,0
29,139723,5000,557,0
43,54848,76904,632,0
63,25013,127268,790,0
51,27260,5000,622,1
66,67641,22297,743,1
31,25000,57979,702,0
43,72595,25491,715,1
62,25000,5000,724,1
44,121344,141614,681,0
26,79662,46290,640,1
43,159840,5000,627,1
74,65871,108738,656,0
64,25000,141180,767,0
74,133307,121259,585,0
39,95076,5000,658,1
64,101276,5000,573,0
73,34896,5000,639,0
47,73286,50319,671,0
60,82458,117884,777,0
65,65487,75134,785,0
34,25000,170165,554,0
43,185747,5000,574,0
53,108433,41214,668,1
18,91823,96532,733,0
25,127555,5000,567,0
66,100767,5000,654,1
52,47911,5000,752,1
69,124991,38352,760,1
32,109088,5000,658,1
64,49428,147843,539,0
73,106600,71194,753,1
39,65377,13940,615,0
31,83339,23560,717,1
43,98986,116554,617,0
45,129739,137271,687,0
40,49160,5000,701,1
31,89598,5000,769,1
41,155629,5000,581,0
19,67958,5000,618,0
62,82862,5000,792,1
43,155569,5000,696,1
31,100499,5000,619,0
73,25000,5000,730,1
68,43180,65222,610,0
24,102583,19934,693,1
20,91920,79382,632,0
64,81503,5000,767,1
40,161448,80712,620,1
63,50300,41577,494,0
60,72023,5000,648,1
64,25000,158342,633,0
62,121426,39016,662,1
35,43045,5000,718,1
75,117285,52482,597,0
55,113081,5000,625,1
52,168963,15858,679,1
68,100971,192327,633,0
32,60756,5000,684,1
42,93144,5000,717,1
72,44629,18192,680,0
54,87766,5000,757,1
45,66963,5000,613,0
27,72186,165459,639,0
56,39065,5000,784,1
74,87017,61747,628,0
34,107969,5000,850,1
56,25000,61934,747,0
39,47456,104854,622,0
43,81721,24050,720,1
61,25000,5000,700,1
42,144610,20118,578,0
34,46555,72806,788,0
30,37476,99317,737,0
37,66706,50562,783,1
42,80494,23640,753,1
21,44741,132305,704,0
27,114216,5000,755,1
20,90988,5000,586,0
58,41510,173495,818,0
62,54103,22260,732,1
35,25000,82723,543,0
64,25000,5000,575,0
53,90503,110079,700,0
64,41925,5000,617,0
39,147171,5000,716,1
51,77836,101398,611,0
64,25000,5000,590,0
25,29266,10609,642,0
57,117118,64447,850,1
66,71939,6794,603,0
61,114679,5000,767,1
36,60340,5000,626,1
